id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
1,Cairo,[],,Egypt,EGY,Africa,30.048819,31.243666,190.2,9606916,118365995.0,10.1,85.29,167.73,25.2,28.5,228.7,[Esyp2P0uJu4],[[0]],[[36]],[[3636]],[0],[7022021],[UCBcVQr-07MH-p9e2kRTdB3A]
2,Cape Town,[],,South Africa,ZAF,Africa,-33.9288301,18.4172197,56.3,4710000,64747319.0,22.2,91.5,164.1,28.0,54.1,186.5,[Fvt6rD9tt1c],[[0]],[[22]],[[3622]],[0],[26022022],[UCBcVQr-07MH-p9e2kRTdB3A]
3,Serrekunda,[],,Gambia,GMB,Africa,13.438762,-16.674807,0.0,340000,2822093.0,29.6,65.27,165.04,19.9,38.8,0.0,[WtkmFcAnM-8],[[0]],[[0]],[[3600]],[0],[5072026],[UCdLwwg5FvjEdsIw1_b0C7GA]
4,Addis Ababa,[],,Ethiopia,ETH,Africa,9.0358287,38.7524127,0.0,3860000,135472051.0,28.2,71.04,163.0,20.2,31.1,0.0,[vwl1PS4XmSc],[[0]],[[139]],[[3739]],[0],[30052024],[UCtCeG4Nwxa7hXmrlqHw_Y3Q]
5,Brazzaville,[Brazza],,Congo (Congo-Brazzaville),COG,Africa,-4.2694407,15.2712256,0.0,2638000,6484437.0,29.7,86.05,165.01,20.5,48.9,0.0,[D1FkMQWpMoM],[[0]],[[0]],[[3600]],[0],[17042022],[UCj9-FdBx9YBoo2UuZFmpY9Q]
6,Conakry,[],,Guinea,GIN,Africa,9.5170602,-13.6998434,0.0,1928389,15099727.0,29.7,54.43,164.73,19.3,29.6,0.0,[_UmKPIBXP4k],[[0]],[[14]],[[3614]],[0],[12112021],[UCHf0a1nmq0SbtOqMV87861g]
7,Nairobi,[],,Kenya,KEN,Africa,-1.2832533,36.8172449,30.0,4397073,57532493.0,28.3,87.49,164.94,20.1,38.5,235.7,[CLPqmkTGS2M],[[0]],[[716]],[[4316]],[0],[15082021],[UCB0HzJA-pmOKs2BeHjsGYkg]
8,Marrakesh,[],,Morocco,MAR,Africa,31.6258257,-7.9891608,0.0,36029138,38430770.0,17.0,75.44,168.77,30.2,39.5,15.0,[5aLjFLy64g4],"[[0,0]]","[[13,2883]]","[[2843,3653]]",[0],[17082021],[UCH6oz_zZce99-aJu1KOZ4Tg]
9,Annaba,[],,Algeria,DZA,Africa,36.8982165,7.7549272,0.0,342703,47435312.0,20.9,82.62,168.69,28.5,27.6,0.0,"[kEmH3JaHxCk,boKYDMlwy0I]","[[0],[0]]","[[1332],[25]]","[[2319],[2638]]","[0,0]","[13012025,20022023]","[UCFcZvHuIm8dspocHG9jfQBg,UCFcZvHuIm8dspocHG9jfQBg]"
10,Lilongwe,[],,Malawi,MWI,Africa,-13.9875107,33.768144,0.0,1115815,22216120.0,33.4,78.62,160.91,18.3,38.5,0.0,"[BGQF18mgOtQ,BIVvMaLdfVg]","[[0],[0]]","[[0],[0]]","[[131],[3469]]","[0,0]","[5012025,10042024]","[UC0Zh1NG9gegIz5YXyY0moPg,UC0Zh1NG9gegIz5YXyY0moPg]"
11,Freetown,[],,Sierra Leone,SLE,Africa,8.479004,-13.26795,0.0,802639,8819794.0,33.0,54.6,161.88,19.2,35.7,0.0,"[qK5B9dEPfUU,goSU8ltI-bg]","[[0],[0]]","[[18],[12]]","[[2731],[899]]","[0,0]","[21032025,19032025]","[UCX-u10rzViv8jFomZJQNOqw,UCX-u10rzViv8jFomZJQNOqw]"
12,Lagos,[],,Nigeria,NGA,Africa,6.4550575,3.3941795,102.01,15388000,237527782.0,20.7,78.43,164.84,19.2,33.9,334.9,"[D0XrQ7QcViU,ZmWl1wCrvUA]","[[0],[0]]","[[0],[156]]","[[13],[3743]]","[0,0]","[29122023,11052024]","[UCNUsndmoH9CCloc4Y7ACLKA,UCNUsndmoH9CCloc4Y7ACLKA]"
13,Tobruk,[],,Libya,LBY,Africa,32.0773764,23.9599988,0.0,141499,7458555.0,21.3,76.99,169.48,26.1,,0.0,"[89638fcBP-E,kpgXLTxeH6o]","[[0],[0]]","[[0],[0]]","[[1446],[2154]]","[0,0]","[13012021,8022021]","[UCrEIK43kIDtdISIcYZKllnw,UCrEIK43kIDtdISIcYZKllnw]"
14,Dakar,[],,Senegal,SEN,Africa,14.693425,-17.447938,0.0,2646503,18931966.0,23.5,61.47,170.05,19.0,36.2,0.0,"[PYFB7nMiFTM,zNT6PSBOT3w]","[[0],[0]]","[[661],[0]]","[[1414],[2847]]","[0,0]","[14012025,25012026]","[UCdLwwg5FvjEdsIw1_b0C7GA,UCdLwwg5FvjEdsIw1_b0C7GA]"
15,Abidjan,[],,Côte d'Ivoire,CIV,Africa,5.320357,-4.016107,0.0,6321017,32711547.0,24.1,68.05,163.44,20.3,35.3,0.0,"[-HDLvruhNXE,CfueSIqeN3w]","[[0],[0]]","[[0],[0]]","[[2400],[1200]]","[0,0]","[29032020,25022019]","[UCev3bR4qEEdCqiRGMkocKIQ,UCev3bR4qEEdCqiRGMkocKIQ]"
16,Tunis,[],,Tunisia,TUN,Africa,36.8002068,10.1857757,48.529,693210,12348573.0,16.5,92.69,169.27,34.0,33.7,131.7,"[0wsuONzLXp0,T94OvwLxK3g]","[[0],[0]]","[[31],[44]]","[[3148],[527]]","[0,0]","[10012023,2072022]","[UC34rcs-SV0-vkHCQUp7-13w,UC34rcs-SV0-vkHCQUp7-13w]"
17,Djibouti,[],,Djibouti,DJI,Africa,11.589015,43.129452,0.0,958920,1184076.0,23.5,,165.3,26.0,41.6,0.0,"[oRBHrKXO_ec,BadxbQgPOZ0]","[[0],[0]]","[[0],[0]]","[[2887],[713]]","[0,0]","[22062023,8072023]","[UCgit8D1nGz0v2dDNlDmczbg,UCgit8D1nGz0v2dDNlDmczbg]"
18,Juba,[],,South Sudan,SSD,Africa,4.8459246,31.5959173,11.997,450000,12188788.0,36.7,34.84,166.22,18.7,44.0,0.0,"[f52Ttwcw-ak,mRKg9Jx8Arc]","[[0],[0]]","[[9],[2070]]","[[2603],[3076]]","[0,0]","[18102022,26092023]","[UC0a1SmWAv9xZ2F5tpYviBcw,UC0a1SmWAv9xZ2F5tpYviBcw]"
19,Cotonou,[],,Benin,BEN,Africa,6.3676953,2.4252507,0.0,679012,14814460.0,26.8,62.62,163.42,17.1,34.4,0.0,"[oJNmHusRVaY,sCZZFRKId1o]","[[0],[0]]","[[0],[14]]","[[2898],[716]]","[0,0]","[27012021,13022021]","[UCeziN01Rak5-_N5i7dGtWNQ,UCeziN01Rak5-_N5i7dGtWNQ]"
20,Bangui,[],,Central African Republic,CAF,Africa,4.3635118,18.5835913,0.0,812407,5513282.0,37.7,59.84,164.33,20.2,43.0,0.0,"[ubgUgFmjqow,t4LfM_JjJ2M,bGrdUMzgV1A]","[[0],[0],[0]]","[[0],[35],[13]]","[[1562],[1746],[340]]","[0,0,0]","[4012023,10032022,10102022]","[UCxMvoh9cKP5ORaspSLm0gPw,UCxMvoh9cKP5ORaspSLm0gPw,UCxMvoh9cKP5ORaspSLm0gPw]"
21,Kampala,[],,Uganda,UGA,Africa,0.3177137,32.5813539,48.272,1680600,51384894.0,29.4,81.26,163.63,16.7,42.7,209.11,"[ngeym4oPwOI,dzAQYxg9JTk,6IXfQT6IiwU]","[[0],[0],[0]]","[[221],[0],[10]]","[[1049],[1685],[1097]]","[0,0,0]","[26042022,28112021,29112021]","[UCIhUQu4npQhWiICIhize0rw,UCIhUQu4npQhWiICIhize0rw,UCIhUQu4npQhWiICIhize0rw]"
22,Tokyo,[Tōkyō],Tokyo,Japan,JPN,Asia,35.682839,139.759455,2080.758,9733276,123366734.0,3.6,0.0,165.28,49.5,32.3,143.7,[joPpxvhS2_I],[[0]],[[25]],[[3625]],[0],[18122025],[UCBcVQr-07MH-p9e2kRTdB3A]
